"date_of_start","time_of_start","date_of_end","time_of_end","nfc_id","place_id"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","430"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","431"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","432"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","433"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","434"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","435"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","436"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","437"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","438"
"2021-01-15","17:56:22","2021-01-21","17:56:22","1008","439"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","416"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","417"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","418"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","419"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","420"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","421"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","422"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","423"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","424"
"2020-08-21","18:02:53","2020-08-27","18:02:53","1009","425"
"2020-07-10","19:32:39","2020-07-16","19:32:39","1011","426"
"2020-07-10","19:32:39","2020-07-16","19:32:39","1011","427"
"2020-07-10","19:32:39","2020-07-16","19:32:39","1011","428"
"2020-07-10","19:32:39","2020-07-16","19:32:39","1011","429"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","430"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","431"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","432"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","433"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","434"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","435"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","436"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","437"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","438"
"2021-09-02","12:03:25","2021-09-08","12:03:25","1011","439"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","430"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","431"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","432"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","433"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","434"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","435"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","436"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","437"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","438"
"2020-06-12","15:12:21","2020-06-18","15:12:21","1014","439"
"2021-07-03","21:32:51","2021-07-09","21:32:51","1015","426"
"2021-07-03","21:32:51","2021-07-09","21:32:51","1015","427"
"2021-07-03","21:32:51","2021-07-09","21:32:51","1015","428"
"2021-07-03","21:32:51","2021-07-09","21:32:51","1015","429"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","416"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","417"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","418"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","419"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","420"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","421"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","422"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","423"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","424"
"2021-11-15","13:22:35","2021-11-21","13:22:35","1018","425"
"2020-07-21","21:47:12","2020-07-27","21:47:12","1020","426"
"2020-07-21","21:47:12","2020-07-27","21:47:12","1020","427"
"2020-07-21","21:47:12","2020-07-27","21:47:12","1020","428"
"2020-07-21","21:47:12","2020-07-27","21:47:12","1020","429"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","416"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","417"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","418"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","419"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","420"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","421"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","422"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","423"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","424"
"2020-02-20","16:11:44","2020-02-26","16:11:44","1022","425"
"2020-04-13","08:50:11","2020-04-19","08:50:11","1022","426"
"2020-04-13","08:50:11","2020-04-19","08:50:11","1022","427"
"2020-04-13","08:50:11","2020-04-19","08:50:11","1022","428"
"2020-04-13","08:50:11","2020-04-19","08:50:11","1022","429"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","279"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","401"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","402"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","403"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","404"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","405"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","406"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","407"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","408"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","409"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","410"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","416"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","417"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","418"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","419"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","420"
