"nfc_id","date_of_charge","time_of_charge","service_id"
"1008","2021-01-16","12:40:52","6"
"1008","2021-01-16","15:10:30","6"
"1008","2021-01-16","17:23:03","6"
"1008","2021-01-16","18:01:27","6"
"1008","2021-01-18","18:31:08","6"
"1008","2021-01-19","19:55:08","6"
"1008","2021-01-20","12:36:01","6"
"1008","2021-01-20","14:02:30","6"
"1008","2021-01-20","16:51:42","6"
"1008","2021-01-20","18:32:44","6"
"1009","2020-08-22","11:50:02","4"
"1009","2020-08-22","16:48:04","4"
"1009","2020-08-24","14:38:15","4"
"1009","2020-08-24","16:39:00","4"
"1009","2020-08-24","17:08:09","4"
"1009","2020-08-24","18:35:48","4"
"1009","2020-08-25","19:42:43","4"
"1009","2020-08-26","16:03:31","4"
"1009","2020-08-26","17:19:14","4"
"1009","2020-08-26","20:18:56","4"
"1011","2020-07-11","21:05:22","5"
"1011","2020-07-12","17:16:58","5"
"1011","2020-07-12","17:46:32","5"
"1011","2020-07-15","13:33:08","5"
"1011","2021-09-03","13:31:30","6"
"1011","2021-09-04","10:50:26","6"
"1011","2021-09-05","13:09:26","6"
"1011","2021-09-05","15:15:17","6"
"1011","2021-09-05","17:02:16","6"
"1011","2021-09-05","21:48:34","6"
"1011","2021-09-06","11:27:49","6"
"1011","2021-09-06","18:31:08","6"
"1011","2021-09-07","21:15:55","6"
"1011","2021-09-07","23:55:09","6"
"1014","2020-06-13","15:56:19","6"
"1014","2020-06-13","18:23:48","6"
"1014","2020-06-13","19:26:21","6"
"1014","2020-06-14","17:32:39","6"
"1014","2020-06-15","14:34:28","6"
"1014","2020-06-16","16:05:41","6"
"1014","2020-06-16","19:18:22","6"
"1014","2020-06-16","21:12:12","6"
"1014","2020-06-16","22:48:54","6"
"1014","2020-06-17","13:46:44","6"
"1015","2021-07-05","15:18:38","5"
"1015","2021-07-06","20:49:30","5"
"1015","2021-07-07","10:31:45","5"
"1015","2021-07-08","23:21:19","5"
"1018","2021-11-16","13:56:23","4"
"1018","2021-11-16","14:21:24","4"
"1018","2021-11-16","19:17:47","4"
"1018","2021-11-16","21:15:04","4"
"1018","2021-11-18","10:05:31","4"
"1018","2021-11-18","12:22:06","4"
"1018","2021-11-18","23:18:49","4"
"1018","2021-11-19","12:00:33","4"
"1018","2021-11-19","18:06:52","4"
"1018","2021-11-20","17:11:47","4"
"1020","2020-07-22","23:58:57","5"
"1020","2020-07-23","18:26:04","5"
"1020","2020-07-24","10:57:11","5"
"1020","2020-07-25","19:00:09","5"
"1022","2020-02-22","11:49:09","4"
"1022","2020-02-22","17:11:46","4"
"1022","2020-02-22","20:34:01","4"
"1022","2020-02-23","18:14:42","4"
"1022","2020-02-23","23:10:23","4"
"1022","2020-02-24","10:24:36","4"
"1022","2020-02-24","18:03:07","4"
"1022","2020-02-24","19:50:23","4"
"1022","2020-02-25","13:00:09","4"
"1022","2020-02-25","20:04:35","4"
"1022","2020-04-14","19:30:56","5"
"1022","2020-04-16","22:01:49","5"
"1022","2020-04-17","15:19:51","5"
"1022","2020-04-18","13:28:14","5"
"1023","2021-04-07","21:38:26","1"
"1023","2021-04-08","16:30:24","1"
"1023","2021-04-08","20:32:45","1"
"1023","2021-04-08","23:49:12","1"
"1023","2021-04-09","18:44:28","1"
"1023","2021-04-09","20:34:27","1"
"1023","2021-04-09","23:06:30","1"
"1023","2021-04-10","18:50:55","1"
"1023","2021-04-11","17:58:57","1"
"1023","2021-04-11","22:38:38","1"
"1023","2021-04-17","18:48:54","4"
"1023","2021-04-18","17:25:21","4"
"1023","2021-04-19","16:18:49","4"
"1023","2021-04-19","17:30:42","4"
"1023","2021-04-19","17:51:43","4"
"1023","2021-04-19","19:51:30","4"
"1023","2021-04-20","13:31:35","4"
"1023","2021-04-21","12:39:40","4"
"1023","2021-04-21","16:10:11","4"
"1023","2021-04-21","19:57:42","4"
"1024","2021-07-05","15:02:54","6"
"1024","2021-07-05","19:06:11","6"
"1024","2021-07-06","16:27:33","6"
"1024","2021-07-06","22:28:36","6"
"1024","2021-07-06","23:47:48","6"
"1024","2021-07-07","17:29:58","6"
"1024","2021-07-09","10:21:13","6"
"1024","2021-07-09","13:06:07","6"
"1024","2021-07-09","17:12:37","6"
"1024","2021-07-09","22:18:09","6"
"1026","2020-08-06","10:53:25","1"
"1026","2020-08-06","21:35:25","1"
"1026","2020-08-07","18:35:19","1"
"1026","2020-08-07","19:29:47","1"
"1026","2020-08-07","20:41:04","1"
"1026","2020-08-08","12:08:10","1"
"1026","2020-08-08","19:41:54","1"
"1026","2020-08-08","23:13:37","1"
"1026","2020-08-09","19:54:37","1"
"1026","2020-08-10","20:37:40","1"
"1027","2020-01-17","14:33:15","5"
"1027","2020-01-18","13:39:20","5"
"1027","2020-01-18","17:38:56","5"
"1027","2020-01-19","22:10:28","5"
"1031","2021-01-11","16:38:54","6"
"1031","2021-01-12","15:48:28","6"
"1031","2021-01-13","11:26:10","6"
"1031","2021-01-13","22:41:23","6"
"1031","2021-01-14","12:25:13","6"
"1031","2021-01-14","13:10:34","6"
"1031","2021-01-14","20:45:01","6"
"1031","2021-01-14","23:16:04","6"
"1031","2021-01-15","20:24:04","6"
"1031","2021-01-15","22:13:09","6"
"1031","2021-08-02","17:27:03","5"
"1031","2021-08-02","18:12:17","5"
"1031","2021-08-03","13:29:43","5"
"1031","2021-08-04","19:58:42","5"
"1032","2020-09-16","17:00:05","6"
"1032","2020-09-17","13:50:14","6"
"1032","2020-09-17","17:56:08","6"
"1032","2020-09-17","22:25:26","6"
"1032","2020-09-18","10:10:30","6"
"1032","2020-09-18","20:19:56","6"
"1032","2020-09-18","20:23:48","6"
"1032","2020-09-18","23:33:28","6"
"1032","2020-09-19","19:31:08","6"
"1032","2020-09-20","15:51:04","6"
"1033","2021-02-04","17:20:09","1"
"1033","2021-02-04","23:29:05","1"
"1033","2021-02-05","14:04:37","1"
"1033","2021-02-05","23:13:55","1"
"1033","2021-02-06","10:49:50","1"
"1033","2021-02-06","14:08:06","1"
"1033","2021-02-07","14:26:41","1"
"1033","2021-02-07","22:10:10","1"
"1033","2021-02-08","11:12:17","1"
"1033","2021-02-08","17:34:18","1"
"1033","2021-07-15","19:04:50","5"
"1033","2021-07-15","20:45:58","5"
"1033","2021-07-17","20:46:42","5"
"1033","2021-07-18","15:56:28","5"
"1037","2020-08-25","11:44:36","6"
"1037","2020-08-26","15:52:27","6"
"1037","2020-08-26","16:48:32","6"
"1037","2020-08-26","21:32:14","6"
"1037","2020-08-27","20:11:32","6"
"1037","2020-08-27","20:29:29","6"
"1037","2020-08-27","20:42:22","6"
"1037","2020-08-28","14:21:10","6"
"1037","2020-08-28","21:36:14","6"
"1037","2020-09-01","21:58:42","6"
"1039","2021-02-09","14:27:28","6"
"1039","2021-02-10","20:40:28","6"
"1039","2021-02-11","12:31:10","6"
"1039","2021-02-11","13:04:28","6"
"1039","2021-02-11","16:40:22","6"
"1039","2021-02-12","12:48:09","6"
"1039","2021-02-13","13:22:19","6"
"1039","2021-02-13","16:36:54","6"
"1039","2021-02-13","19:04:25","6"
"1039","2021-02-13","20:15:37","6"
"1040","2020-08-13","14:42:02","6"
"1040","2020-08-13","14:42:13","6"
"1040","2020-08-13","20:17:08","6"
"1040","2020-08-13","22:57:33","6"
"1040","2020-08-14","14:08:44","6"
"1040","2020-08-14","21:12:53","6"
"1040","2020-08-16","14:07:58","6"
"1040","2020-08-16","21:33:44","6"
"1040","2020-08-17","12:14:56","6"
"1040","2020-08-17","13:40:04","6"
"1040","2021-02-28","17:41:19","5"
"1040","2021-03-01","14:04:51","5"
"1040","2021-03-02","18:00:48","5"
"1040","2021-03-02","18:56:14","5"
"1048","2021-02-28","10:23:14","1"
"1048","2021-02-28","13:42:34","1"
"1048","2021-02-28","21:50:33","1"
"1048","2021-02-28","23:34:39","1"
"1048","2021-03-02","10:49:03","1"
"1048","2021-03-02","13:22:19","1"
