"date_of_charge","time_of_charge","amount","description_of_charge"
"2020-01-02","10:39:00","158","bar/restaurant"
"2020-01-02","12:07:19","123","bar/restaurant"
"2020-01-02","22:23:55","188","bar/restaurant"
"2020-01-03","10:48:32","121","bar/restaurant"
"2020-01-03","12:25:39","158","bar/restaurant"
"2020-01-03","12:55:16","180","bar/restaurant"
"2020-01-03","19:10:22","143","bar/restaurant"
"2020-01-03","20:27:30","130","bar/restaurant"
"2020-01-03","23:53:42","112","bar/restaurant"
"2020-01-04","12:06:19","197","bar/restaurant"
"2020-01-04","13:05:10","186","bar/restaurant"
"2020-01-04","14:41:02","138","bar/restaurant"
"2020-01-04","15:47:07","106","bar/restaurant"
"2020-01-04","19:53:33","161","bar/restaurant"
"2020-01-04","20:50:24","189","bar/restaurant"
"2020-01-04","23:23:47","145","bar/restaurant"
"2020-01-04","23:56:17","105","conference room"
"2020-01-05","10:33:40","166","bar/restaurant"
"2020-01-05","11:31:13","162","bar/restaurant"
"2020-01-05","13:42:46","182","conference room"
"2020-01-05","16:45:58","199","bar/restaurant"
"2020-01-05","17:34:06","193","conference room"
"2020-01-05","19:01:57","118","bar/restaurant"
"2020-01-06","10:03:55","165","bar/restaurant"
"2020-01-06","10:17:14","153","sauna"
"2020-01-06","10:23:52","199","sauna"
"2020-01-06","11:26:06","140","conference room"
"2020-01-06","11:27:22","102","conference room"
"2020-01-06","11:30:03","182","conference room"
"2020-01-06","11:39:50","163","sauna"
"2020-01-06","12:23:21","155","sauna"
"2020-01-06","13:18:02","163","bar/restaurant"
"2020-01-06","13:51:29","160","conference room"
"2020-01-06","14:15:46","169","bar/restaurant"
"2020-01-06","14:57:04","156","conference room"
"2020-01-06","15:30:09","150","bar/restaurant"
"2020-01-06","15:33:31","192","conference room"
"2020-01-06","15:39:19","198","sauna"
"2020-01-06","15:49:30","120","conference room"
"2020-01-06","16:10:13","186","bar/restaurant"
"2020-01-06","17:25:43","155","conference room"
"2020-01-06","17:29:02","101","sauna"
"2020-01-06","17:44:07","138","bar/restaurant"
"2020-01-06","18:40:28","110","bar/restaurant"
"2020-01-06","18:44:01","165","bar/restaurant"
"2020-01-06","18:46:29","140","bar/restaurant"
"2020-01-06","19:26:57","167","conference room"
"2020-01-06","19:35:35","154","conference room"
"2020-01-06","21:06:29","175","conference room"
"2020-01-07","10:24:24","115","sauna"
"2020-01-07","11:47:13","152","conference room"
"2020-01-07","11:47:56","178","bar/restaurant"
"2020-01-07","11:55:09","159","conference room"
"2020-01-07","12:27:20","105","conference room"
"2020-01-07","14:36:15","117","sauna"
"2020-01-07","14:50:55","192","conference room"
"2020-01-07","15:06:33","127","conference room"
"2020-01-07","17:16:20","102","conference room"
"2020-01-07","18:00:01","164","conference room"
"2020-01-07","19:42:53","186","conference room"
"2020-01-07","21:34:24","145","conference room"
"2020-01-07","22:07:37","193","conference room"
"2020-01-07","23:05:17","151","conference room"
"2020-01-08","10:14:26","186","bar/restaurant"
"2020-01-08","10:27:03","103","sauna"
"2020-01-08","10:35:29","120","sauna"
"2020-01-08","11:02:00","171","bar/restaurant"
"2020-01-08","11:05:41","138","sauna"
"2020-01-08","11:38:05","123","sauna"
"2020-01-08","12:27:20","199","sauna"
"2020-01-08","12:38:20","150","sauna"
"2020-01-08","13:52:18","129","conference room"
"2020-01-08","14:49:48","171","sauna"
"2020-01-08","15:01:15","110","conference room"
"2020-01-08","15:10:30","186","conference room"
"2020-01-08","15:55:37","161","gym"
"2020-01-08","17:17:56","117","gym"
"2020-01-08","18:05:00","191","conference room"
"2020-01-08","18:13:37","164","conference room"
"2020-01-08","19:51:22","120","bar/restaurant"
"2020-01-08","20:27:31","184","conference room"
"2020-01-08","21:03:36","104","sauna"
"2020-01-08","21:37:18","190","bar/restaurant"
"2020-01-08","21:50:40","116","conference room"
"2020-01-08","22:31:52","105","sauna"
"2020-01-08","22:48:48","159","sauna"
"2020-01-08","23:44:57","189","gym"
"2020-01-09","10:41:27","114","sauna"
"2020-01-09","12:40:14","138","conference room"
"2020-01-09","13:20:04","153","conference room"
"2020-01-09","13:43:21","156","conference room"
"2020-01-09","13:57:25","168","gym"
"2020-01-09","14:13:44","101","sauna"
"2020-01-09","16:19:28","100","sauna"
"2020-01-09","16:35:27","199","sauna"
"2020-01-09","17:14:22","139","sauna"
"2020-01-09","18:12:21","129","sauna"
"2020-01-09","18:34:30","113","bar/restaurant"
"2020-01-09","20:44:20","163","conference room"
"2020-01-09","21:00:35","182","conference room"
"2020-01-09","21:12:23","114","conference room"
"2020-01-09","21:40:38","186","gym"
"2020-01-09","22:22:24","114","bar/restaurant"
"2020-01-10","11:58:13","184","sauna"
"2020-01-10","12:15:35","172","gym"
"2020-01-10","12:49:48","130","sauna"
"2020-01-10","13:48:30","111","gym"
"2020-01-10","14:35:57","151","sauna"
"2020-01-10","14:47:32","167","conference room"
"2020-01-10","15:11:09","190","gym"
"2020-01-10","16:24:47","117","bar/restaurant"
"2020-01-10","17:27:25","153","sauna"
"2020-01-10","18:15:46","192","bar/restaurant"
"2020-01-10","20:01:39","138","conference room"
"2020-01-10","20:05:19","164","sauna"
"2020-01-10","20:38:14","180","gym"
"2020-01-10","21:06:43","191","bar/restaurant"
"2020-01-10","22:03:01","108","gym"
"2020-01-11","10:43:37","166","sauna"
"2020-01-11","12:48:23","183","bar/restaurant"
"2020-01-11","14:14:20","125","sauna"
"2020-01-11","14:30:52","169","sauna"
"2020-01-11","16:05:06","129","bar/restaurant"
"2020-01-11","18:56:38","122","sauna"
"2020-01-11","22:30:20","131","bar/restaurant"
"2020-01-11","23:54:23","145","gym"
"2020-01-12","12:28:50","189","gym"
"2020-01-12","12:29:34","155","sauna"
"2020-01-12","13:27:49","150","bar/restaurant"
"2020-01-12","14:25:32","179","sauna"
"2020-01-12","16:15:41","175","gym"
"2020-01-12","17:25:54","182","sauna"
"2020-01-12","22:13:53","121","gym"
"2020-01-13","14:39:37","186","bar/restaurant"
"2020-01-13","15:46:39","175","conference room"
"2020-01-13","16:42:08","104","bar/restaurant"
"2020-01-13","17:16:41","122","gym"
"2020-01-13","18:12:25","185","sauna"
"2020-01-13","18:31:49","169","sauna"
"2020-01-13","18:39:24","185","bar/restaurant"
"2020-01-13","18:52:55","135","sauna"
"2020-01-13","19:40:48","134","sauna"
"2020-01-13","21:09:46","165","sauna"
"2020-01-13","21:20:38","103","bar/restaurant"
"2020-01-13","21:29:35","120","bar/restaurant"
"2020-01-13","21:47:54","147","conference room"
"2020-01-13","22:07:53","162","bar/restaurant"
"2020-01-13","22:22:12","142","sauna"
"2020-01-14","11:45:16","151","sauna"
"2020-01-14","12:18:37","141","sauna"
"2020-01-14","15:27:39","122","bar/restaurant"
"2020-01-14","18:50:42","168","bar/restaurant"
"2020-01-14","18:54:46","127","gym"
"2020-01-14","20:14:12","171","bar/restaurant"
"2020-01-14","21:32:12","199","bar/restaurant"
"2020-01-14","21:42:19","187","sauna"
"2020-01-14","22:38:16","193","conference room"
"2020-01-15","10:16:54","138","conference room"
"2020-01-15","10:17:08","122","sauna"
"2020-01-15","12:52:54","187","sauna"
"2020-01-15","13:40:42","123","conference room"
"2020-01-15","14:32:09","169","sauna"
"2020-01-15","16:15:01","115","conference room"
"2020-01-15","17:20:50","199","conference room"
"2020-01-15","19:25:39","157","sauna"
"2020-01-15","22:02:17","119","bar/restaurant"
"2020-01-16","14:40:12","115","bar/restaurant"
"2020-01-16","18:14:01","189","bar/restaurant"
"2020-01-16","19:35:22","195","sauna"
"2020-01-16","23:10:27","122","conference room"
"2020-01-16","23:41:19","110","conference room"
"2020-01-17","12:16:21","142","bar/restaurant"
"2020-01-17","12:31:41","190","bar/restaurant"
"2020-01-17","14:33:15","133","gym"
"2020-01-17","16:06:14","124","conference room"
"2020-01-17","18:26:05","179","bar/restaurant"
"2020-01-17","19:29:41","181","conference room"
"2020-01-17","20:43:43","173","bar/restaurant"
"2020-01-18","10:38:50","148","bar/restaurant"
"2020-01-18","13:02:39","129","sauna"
"2020-01-18","13:39:20","139","gym"
"2020-01-18","13:48:20","151","bar/restaurant"
"2020-01-18","16:38:43","116","sauna"
"2020-01-18","17:38:56","174","gym"
"2020-01-19","10:12:45","113","sauna"
"2020-01-19","12:02:31","167","conference room"
"2020-01-19","12:42:16","179","sauna"
"2020-01-19","12:43:28","161","sauna"
"2020-01-19","15:22:48","158","bar/restaurant"
"2020-01-19","16:09:17","155","bar/restaurant"
"2020-01-19","16:52:03","159","conference room"
"2020-01-19","19:37:22","185","bar/restaurant"
"2020-01-19","19:52:55","195","sauna"
"2020-01-19","21:27:43","185","conference room"
"2020-01-19","22:10:28","185","gym"
"2020-01-19","23:46:27","178","conference room"
"2020-01-20","10:10:31","190","conference room"
"2020-01-20","17:36:04","115","sauna"
"2020-01-20","19:04:34","181","bar/restaurant"
"2020-01-20","20:14:20","182","conference room"
"2020-01-20","22:06:05","117","sauna"
"2020-01-21","10:12:13","157","sauna"
"2020-01-21","11:33:12","130","conference room"
"2020-01-21","14:20:38","178","conference room"
"2020-01-21","14:45:10","135","bar/restaurant"
"2020-01-21","18:44:50","107","bar/restaurant"
"2020-01-21","23:06:40","161","conference room"
"2020-01-22","11:32:08","129","sauna"
"2020-01-22","13:41:11","109","bar/restaurant"
"2020-01-22","19:03:08","100","bar/restaurant"
"2020-01-23","10:26:42","128","bar/restaurant"
"2020-01-23","13:07:02","128","bar/restaurant"
"2020-01-23","17:33:07","141","conference room"
"2020-01-23","21:02:41","151","conference room"
"2020-01-23","21:19:15","146","conference room"
"2020-01-24","14:41:26","111","sauna"
"2020-01-24","16:23:30","103","bar/restaurant"
"2020-01-24","18:26:31","160","bar/restaurant"
"2020-01-24","19:02:14","115","gym"
"2020-01-24","20:02:16","130","bar/restaurant"
"2020-01-24","21:40:23","102","sauna"
"2020-01-25","10:16:08","183","conference room"
"2020-01-25","10:55:48","128","bar/restaurant"
"2020-01-25","11:35:45","173","sauna"
"2020-01-25","15:37:35","154","sauna"
"2020-01-25","17:42:36","174","gym"
"2020-01-25","19:30:37","111","gym"
"2020-01-25","21:25:15","191","bar/restaurant"
"2020-01-26","11:43:50","135","conference room"
"2020-01-26","14:28:28","125","gym"
"2020-01-26","15:38:24","121","sauna"
"2020-01-26","17:09:17","132","conference room"
"2020-01-26","18:52:20","141","conference room"
"2020-01-26","20:33:17","113","sauna"
"2020-01-26","20:45:23","143","conference room"
"2020-01-26","22:42:34","164","bar/restaurant"
"2020-01-26","23:50:27","182","conference room"
"2020-01-27","13:00:26","124","bar/restaurant"
"2020-01-27","14:00:48","187","sauna"
"2020-01-27","14:08:32","134","conference room"
"2020-01-27","15:05:27","132","sauna"
"2020-01-27","19:26:30","144","sauna"
"2020-01-27","19:35:20","143","sauna"
"2020-01-27","21:02:19","104","sauna"
"2020-01-27","21:23:48","117","sauna"
"2020-01-27","22:05:40","109","gym"
"2020-01-27","22:41:42","172","gym"
"2020-01-27","23:22:23","146","bar/restaurant"
"2020-01-27","23:35:04","166","gym"
"2020-01-28","11:07:09","176","sauna"
"2020-01-28","11:26:26","183","gym"
"2020-01-28","12:06:45","145","sauna"
"2020-01-28","15:13:24","191","sauna"
"2020-01-28","15:36:52","189","sauna"
"2020-01-28","15:53:40","122","gym"
"2020-01-28","17:21:34","160","sauna"
"2020-01-28","17:42:47","166","sauna"
"2020-01-28","20:05:05","157","sauna"
"2020-01-28","22:01:22","107","gym"
"2020-01-28","22:47:25","111","sauna"
"2020-02-01","13:21:09","166","gym"
"2020-02-02","17:23:38","120","conference room"
"2020-02-02","18:12:35","185","conference room"
"2020-02-02","23:14:53","128","gym"
"2020-02-03","12:54:45","106","bar/restaurant"
"2020-02-03","15:16:34","115","conference room"
"2020-02-03","16:35:35","109","bar/restaurant"
"2020-02-03","19:48:41","146","bar/restaurant"
