"date_of_entrance","time_of_entrance","date_of_exit","time_of_exit","nfc_id","place_id"
"2021-01-16","15:23:03","2021-01-16","17:23:03","1008","430"
"2021-01-20","14:51:42","2021-01-20","16:51:42","1008","431"
"2021-01-18","16:31:08","2021-01-18","18:31:08","1008","432"
"2021-01-19","17:55:08","2021-01-19","19:55:08","1008","433"
"2021-01-20","12:02:30","2021-01-20","14:02:30","1008","434"
"2021-01-16","16:01:27","2021-01-16","18:01:27","1008","435"
"2021-01-20","10:36:01","2021-01-20","12:36:01","1008","436"
"2021-01-16","13:10:30","2021-01-16","15:10:30","1008","437"
"2021-01-16","10:40:52","2021-01-16","12:40:52","1008","438"
"2021-01-20","16:32:44","2021-01-20","18:32:44","1008","439"
"2020-08-24","14:39:00","2020-08-24","16:39:00","1009","416"
"2020-08-26","18:18:56","2020-08-26","20:18:56","1009","417"
"2020-08-24","16:35:48","2020-08-24","18:35:48","1009","418"
"2020-08-24","15:08:09","2020-08-24","17:08:09","1009","419"
"2020-08-22","14:48:04","2020-08-22","16:48:04","1009","420"
"2020-08-22","09:50:02","2020-08-22","11:50:02","1009","421"
"2020-08-24","12:38:15","2020-08-24","14:38:15","1009","422"
"2020-08-25","17:42:43","2020-08-25","19:42:43","1009","423"
"2020-08-26","14:03:31","2020-08-26","16:03:31","1009","424"
"2020-08-26","15:19:14","2020-08-26","17:19:14","1009","425"
"2020-07-12","15:46:32","2020-07-12","17:46:32","1011","426"
"2020-07-15","11:33:08","2020-07-15","13:33:08","1011","427"
"2020-07-12","15:16:58","2020-07-12","17:16:58","1011","428"
"2020-07-11","19:05:22","2020-07-11","21:05:22","1011","429"
"2021-09-04","08:50:26","2021-09-04","10:50:26","1011","430"
"2021-09-06","16:31:08","2021-09-06","18:31:08","1011","431"
"2021-09-07","19:15:55","2021-09-07","21:15:55","1011","432"
"2021-09-05","15:02:16","2021-09-05","17:02:16","1011","433"
"2021-09-05","19:48:34","2021-09-05","21:48:34","1011","434"
"2021-09-06","09:27:49","2021-09-06","11:27:49","1011","435"
"2021-09-07","21:55:09","2021-09-07","23:55:09","1011","436"
"2021-09-03","11:31:30","2021-09-03","13:31:30","1011","437"
"2021-09-05","13:15:17","2021-09-05","15:15:17","1011","438"
"2021-09-05","11:09:26","2021-09-05","13:09:26","1011","439"
"2020-06-16","17:18:22","2020-06-16","19:18:22","1014","430"
"2020-06-13","17:26:21","2020-06-13","19:26:21","1014","431"
"2020-06-13","13:56:19","2020-06-13","15:56:19","1014","432"
"2020-06-16","14:05:41","2020-06-16","16:05:41","1014","433"
"2020-06-15","12:34:28","2020-06-15","14:34:28","1014","434"
"2020-06-13","16:23:48","2020-06-13","18:23:48","1014","435"
"2020-06-14","15:32:39","2020-06-14","17:32:39","1014","436"
"2020-06-17","11:46:44","2020-06-17","13:46:44","1014","437"
"2020-06-16","20:48:54","2020-06-16","22:48:54","1014","438"
"2020-06-16","19:12:12","2020-06-16","21:12:12","1014","439"
"2021-07-06","18:49:30","2021-07-06","20:49:30","1015","426"
"2021-07-05","13:18:38","2021-07-05","15:18:38","1015","427"
"2021-07-07","08:31:45","2021-07-07","10:31:45","1015","428"
"2021-07-08","21:21:19","2021-07-08","23:21:19","1015","429"
"2021-11-18","08:05:31","2021-11-18","10:05:31","1018","416"
"2021-11-20","15:11:47","2021-11-20","17:11:47","1018","417"
"2021-11-16","19:15:04","2021-11-16","21:15:04","1018","418"
"2021-11-18","21:18:49","2021-11-18","23:18:49","1018","419"
"2021-11-16","17:17:47","2021-11-16","19:17:47","1018","420"
"2021-11-16","11:56:23","2021-11-16","13:56:23","1018","421"
"2021-11-18","10:22:06","2021-11-18","12:22:06","1018","422"
"2021-11-19","16:06:52","2021-11-19","18:06:52","1018","423"
"2021-11-19","10:00:33","2021-11-19","12:00:33","1018","424"
"2021-11-16","12:21:24","2021-11-16","14:21:24","1018","425"
"2020-07-22","21:58:57","2020-07-22","23:58:57","1020","426"
"2020-07-25","17:00:09","2020-07-25","19:00:09","1020","427"
"2020-07-23","16:26:04","2020-07-23","18:26:04","1020","428"
"2020-07-24","08:57:11","2020-07-24","10:57:11","1020","429"
"2020-02-22","15:11:46","2020-02-22","17:11:46","1022","416"
"2020-02-25","11:00:09","2020-02-25","13:00:09","1022","417"
"2020-02-22","09:49:09","2020-02-22","11:49:09","1022","418"
"2020-02-22","18:34:01","2020-02-22","20:34:01","1022","419"
"2020-02-24","17:50:23","2020-02-24","19:50:23","1022","420"
"2020-02-25","18:04:35","2020-02-25","20:04:35","1022","421"
"2020-02-23","21:10:23","2020-02-23","23:10:23","1022","422"
"2020-02-24","16:03:07","2020-02-24","18:03:07","1022","423"
"2020-02-23","16:14:42","2020-02-23","18:14:42","1022","424"
"2020-02-24","08:24:36","2020-02-24","10:24:36","1022","425"
"2020-04-18","11:28:14","2020-04-18","13:28:14","1022","426"
"2020-04-16","20:01:49","2020-04-16","22:01:49","1022","427"
"2020-04-17","13:19:51","2020-04-17","15:19:51","1022","428"
"2020-04-14","17:30:56","2020-04-14","19:30:56","1022","429"
"2021-04-09","16:44:28","2021-04-09","18:44:28","1023","401"
"2021-04-08","18:32:45","2021-04-08","20:32:45","1023","402"
"2021-04-10","16:50:55","2021-04-10","18:50:55","1023","403"
"2021-04-08","14:30:24","2021-04-08","16:30:24","1023","404"
"2021-04-11","20:38:38","2021-04-11","22:38:38","1023","405"
"2021-04-11","15:58:57","2021-04-11","17:58:57","1023","406"
"2021-04-09","21:06:30","2021-04-09","23:06:30","1023","407"
"2021-04-07","19:38:26","2021-04-07","21:38:26","1023","408"
"2021-04-08","21:49:12","2021-04-08","23:49:12","1023","409"
"2021-04-09","18:34:27","2021-04-09","20:34:27","1023","410"
"2021-04-19","15:30:42","2021-04-19","17:30:42","1023","416"
"2021-04-18","15:25:21","2021-04-18","17:25:21","1023","417"
"2021-04-21","14:10:11","2021-04-21","16:10:11","1023","418"
"2021-04-19","17:51:30","2021-04-19","19:51:30","1023","419"
"2021-04-19","15:51:43","2021-04-19","17:51:43","1023","420"
"2021-04-21","10:39:40","2021-04-21","12:39:40","1023","421"
"2021-04-17","16:48:54","2021-04-17","18:48:54","1023","422"
"2021-04-21","17:57:42","2021-04-21","19:57:42","1023","423"
"2021-04-20","11:31:35","2021-04-20","13:31:35","1023","424"
"2021-04-19","14:18:49","2021-04-19","16:18:49","1023","425"
"2021-07-09","08:21:13","2021-07-09","10:21:13","1024","430"
"2021-07-09","15:12:37","2021-07-09","17:12:37","1024","431"
"2021-07-05","17:06:11","2021-07-05","19:06:11","1024","432"
"2021-07-09","11:06:07","2021-07-09","13:06:07","1024","433"
"2021-07-06","21:47:48","2021-07-06","23:47:48","1024","434"
"2021-07-09","20:18:09","2021-07-09","22:18:09","1024","435"
"2021-07-06","20:28:36","2021-07-06","22:28:36","1024","436"
"2021-07-06","14:27:33","2021-07-06","16:27:33","1024","437"
"2021-07-07","15:29:58","2021-07-07","17:29:58","1024","438"
"2021-07-05","13:02:54","2021-07-05","15:02:54","1024","439"
"2020-08-07","17:29:47","2020-08-07","19:29:47","1026","401"
"2020-08-06","19:35:25","2020-08-06","21:35:25","1026","402"
"2020-08-08","17:41:54","2020-08-08","19:41:54","1026","403"
"2020-08-06","08:53:25","2020-08-06","10:53:25","1026","404"
"2020-08-07","16:35:19","2020-08-07","18:35:19","1026","405"
"2020-08-09","17:54:37","2020-08-09","19:54:37","1026","406"
"2020-08-08","10:08:10","2020-08-08","12:08:10","1026","407"
"2020-08-07","18:41:04","2020-08-07","20:41:04","1026","408"
"2020-08-10","18:37:40","2020-08-10","20:37:40","1026","409"
"2020-08-08","21:13:37","2020-08-08","23:13:37","1026","410"
"2020-01-18","11:39:20","2020-01-18","13:39:20","1027","426"
"2020-01-19","20:10:28","2020-01-19","22:10:28","1027","427"
"2020-01-18","15:38:56","2020-01-18","17:38:56","1027","428"
"2020-01-17","12:33:15","2020-01-17","14:33:15","1027","429"
"2021-08-03","11:29:43","2021-08-03","13:29:43","1031","426"
"2021-08-02","15:27:03","2021-08-02","17:27:03","1031","427"
"2021-08-02","16:12:17","2021-08-02","18:12:17","1031","428"
"2021-08-04","17:58:42","2021-08-04","19:58:42","1031","429"
"2021-01-15","20:13:09","2021-01-15","22:13:09","1031","430"
"2021-01-11","14:38:54","2021-01-11","16:38:54","1031","431"
"2021-01-14","10:25:13","2021-01-14","12:25:13","1031","432"
"2021-01-15","18:24:04","2021-01-15","20:24:04","1031","433"
"2021-01-14","21:16:04","2021-01-14","23:16:04","1031","434"
"2021-01-13","09:26:10","2021-01-13","11:26:10","1031","435"
"2021-01-14","18:45:01","2021-01-14","20:45:01","1031","436"
"2021-01-14","11:10:34","2021-01-14","13:10:34","1031","437"
"2021-01-12","13:48:28","2021-01-12","15:48:28","1031","438"
"2021-01-13","20:41:23","2021-01-13","22:41:23","1031","439"
"2020-09-16","15:00:05","2020-09-16","17:00:05","1032","430"
"2020-09-19","17:31:08","2020-09-19","19:31:08","1032","431"
"2020-09-18","08:10:30","2020-09-18","10:10:30","1032","432"
"2020-09-17","11:50:14","2020-09-17","13:50:14","1032","433"
"2020-09-18","18:23:48","2020-09-18","20:23:48","1032","434"
"2020-09-17","20:25:26","2020-09-17","22:25:26","1032","435"
"2020-09-18","21:33:28","2020-09-18","23:33:28","1032","436"
"2020-09-20","13:51:04","2020-09-20","15:51:04","1032","437"
"2020-09-17","15:56:08","2020-09-17","17:56:08","1032","438"
"2020-09-18","18:19:56","2020-09-18","20:19:56","1032","439"
"2021-02-04","15:20:09","2021-02-04","17:20:09","1033","401"
"2021-02-05","12:04:37","2021-02-05","14:04:37","1033","402"
"2021-02-06","08:49:50","2021-02-06","10:49:50","1033","403"
"2021-02-07","20:10:10","2021-02-07","22:10:10","1033","404"
"2021-02-08","15:34:18","2021-02-08","17:34:18","1033","405"
"2021-02-07","12:26:41","2021-02-07","14:26:41","1033","406"
"2021-02-05","21:13:55","2021-02-05","23:13:55","1033","407"
"2021-02-08","09:12:17","2021-02-08","11:12:17","1033","408"
"2021-02-06","12:08:06","2021-02-06","14:08:06","1033","409"
"2021-02-04","21:29:05","2021-02-04","23:29:05","1033","410"
"2021-07-17","18:46:42","2021-07-17","20:46:42","1033","426"
"2021-07-15","18:45:58","2021-07-15","20:45:58","1033","427"
